id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
723924635782909758,Quiet on Park. 10 mins to hospitals or downtown.,186926761,Zubin,,Kensington-Cedar Cottage,49.25316,-123.08,Entire home/apt,112,90,0,,,2,177,0,24-275389
724744066086196334,Two Bed Apartment w/ Pool by Roger's Arena,476091338,Tim,,Downtown,49.2781,-123.10871,Entire home/apt,202,2,145,2025-02-24,4.90,1,121,61,25-157230
724786279214531852,"A very 70s 2-bedroom near food, transit, and more",41741966,Qaid,,Grandview-Woodland,49.27688,-123.06439,Entire home/apt,151,2,178,2025-02-16,6.04,1,231,68,25-157126
725335769281689438,Private Suite Steps to Main St.,49497609,Tomasz,,Riley Park,49.2441317,-123.096295,Entire home/apt,123,3,94,2025-03-02,3.53,1,218,49,24-15899
726047549953297120,Luxury home close to downtown,295589552,Arjun,,Hastings-Sunrise,49.26388,-123.05132,Entire home/apt,240,90,157,2025-02-19,5.55,1,162,49,24-159013
726777253250888356,Bright and Spacious Townhouse with Private Rooftop,16953686,Mark,,Downtown Eastside,49.28229190739526,-123.09210373862305,Entire home/apt,,5,4,2023-07-12,0.17,1,0,0,22-288624
726910699004568133,Beautiful 4-bedroom house in a great location,477550234,Lisandro,,Sunset,49.2203821,-123.1015606,Entire home/apt,207,2,72,2025-01-21,2.56,1,75,33,24-169911
726925227142462134,Gorgeous Downtown Condo with Skyline views+Parking,339574160,Erfan,,Downtown,49.28062,-123.108,Entire home/apt,224,2,123,2025-02-20,4.20,1,21,48,24-158974
729003293408993264,Welcome to the Jay Chalet,445748047,Brendan,,Killarney,49.22568,-123.03173,Entire home/apt,77,3,85,2025-02-23,2.92,1,0,42,25-157138
729227304771785224,It's finest! Everything you need in one location.,434998177,Birnie,,Downtown,49.28046,-123.12604,Entire home/apt,142,1,19,2025-03-02,2.37,1,131,19,25-158170
729227659378590273,Yaletown paradise 1bedroom+den 90 day+,368496189,Wendy,,Downtown,49.2749198,-123.1150309,Entire home/apt,125,90,1,2022-12-17,0.04,1,131,0,
729242308875289923,Modern  Downtown 2 Bed Condo w/ Parking+Pool,481996002,Cletus,,Downtown,49.2890306,-123.1262597,Entire home/apt,175,90,0,,,1,226,0,
729652180650736869,Strathcona Sunset - 2 bed / 2 bath,6849247,Alice,,Downtown Eastside,49.2813191934688,-123.08455662831118,Entire home/apt,,5,0,,,1,0,0,22-288643
729730483477613494,Spacious & Modern 1 bedroom / 1 bathroom Condo,470662609,Daman,,Downtown,49.2792813,-123.1065474,Entire home/apt,185,2,92,2025-02-17,3.16,1,165,34,25-157095
730357547961843058,Unique 180 City View Condo 1 Bedroom+ 1 Bathroom,348092857,Parmissa,,Downtown,49.27981,-123.10768,Entire home/apt,273,2,41,2025-02-01,1.65,4,135,21,25-157137
730502580919015540,Gorgeous 1 Bed with Huge Patio!,40823079,Vivian,,Downtown,49.27849440819956,-123.10555621379544,Entire home/apt,255,2,36,2025-02-15,1.56,1,52,14,25-175495
731759310990086454,The Zen Loft: Shared Rooftop Bliss with City Views,39423700,Adam,,Downtown Eastside,49.27976,-123.09797,Entire home/apt,116,2,114,2025-02-25,4.00,1,122,53,25-157198
731947165995473663,Central Downtown Jr. 1 Bedroom,184545155,Marlene,,Downtown,49.28175129790685,-123.12380951463803,Entire home/apt,135,90,6,2024-10-05,0.24,1,181,2,
732108046088834881,New 2 bedroom laneway home,9525258,Jonathan,,Grandview-Woodland,49.26499,-123.06323,Entire home/apt,122,90,2,2023-01-16,0.07,1,244,0,
732862632185724337,1 bedroom rental with patio 1410,125408114,Brooke,,Downtown,49.27716747825826,-123.10889203101397,Entire home/apt,130,90,3,2024-11-30,0.12,2,365,1,
734012360650132280,Gorgeous Unit with Beautiful City Views,106548860,Devon,,Downtown Eastside,49.28033,-123.10972,Entire home/apt,774,2,123,2025-03-02,4.51,1,0,50,25-156872
734175246663939697,Your Home in Kits,12592613,Aimee,,Kitsilano,49.26091,-123.1646,Entire home/apt,713,7,10,2024-12-29,0.45,1,277,7,Licence # 25-157139
735823523522840594,Modern & Renovated Spacious LivRm &Bdrm! Skytrain,93557006,Fanny,,Renfrew-Collingwood,49.23748,-123.05686,Entire home/apt,88,1,48,2025-02-14,1.73,1,176,26,25-157161
736287095414441925,Stunning Views- 2 bed 2 Bath w/ Large Sectional,483343233,Chaz,,Downtown,49.27916,-123.10899,Entire home/apt,244,3,67,2025-02-24,2.32,2,103,19,20-162812
736880338817596796,Great Location in Yaletown,207552867,Ekaterina,,Downtown,49.27397,-123.12664,Entire home/apt,,2,72,2025-02-15,2.50,1,0,35,25-158332
737164477772212966,2 Bedroom Penthouse Loft DT Van!,91432761,Alessandro,,Downtown,49.2784951,-123.1296296,Entire home/apt,252,1,40,2025-02-17,3.76,1,134,40,25-158212
737248579538665623,The CornerStay | 2BR Stylish and Modern Condo,101886467,Ralph,,Downtown,49.279448,-123.107321,Entire home/apt,,1,50,2024-12-09,2.37,1,0,19,25-157350
