id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1248660932835732694,Cheapest Large room in Ottawa,109170080,Rafael,,Rideau-Vanier,45.4304388,-75.6632072,Private room,26,3,2,2025-01-28,0.40,2,93,2,STR-862-383
1248673740421264770,Dream room students/workers,423768453,Seynabou,,Beacon Hill-Cyrville,45.45096237458535,-75.59891261056448,Private room,89,5,2,2024-10-06,0.36,26,365,2,STR-834-549
1248767512952836896,Elegant 2 bdrm Home w/King Bed & free parking,543308673,Tatyana,,Rideau-Rockcliffe,45.45061099999999,-75.62941130000002,Entire home/apt,161,30,0,,,2,347,0,
1249299236389742228,G-Large King size bedroom&Private bathroom,374701669,Xiaoxiao,,College,45.34745,-75.747,Private room,58,1,26,2025-02-22,4.84,8,294,26,STR-844-128
1249945248897262255,E-Single bedroom in cozy house-YoyoCozyStay,374701669,Xiaoxiao,,College,45.347663472047664,-75.74608660889854,Private room,47,1,16,2025-02-16,3.16,8,357,16,STR-844-128
1250187897116849361,Cozy 2 Bedroom in Centretown,85297148,Genevieve,,Somerset,45.413078698334445,-75.69824795976939,Entire home/apt,117,5,3,2025-03-09,1.80,36,330,3,STR-832-339
1250282335603149397,4B Family Home | Riverside South,653207799,Sugaal,,Gloucester-South Nepean,45.261,-75.70028,Entire home/apt,195,30,1,2025-01-31,0.73,1,344,1,
1250615430672328433,Charming 3bdrm Home in Centretown w Free Parking,380704959,Kareem Sami,,Kitchissippi,45.397373334699324,-75.71192160340335,Entire home/apt,133,1,15,2025-03-09,9.57,1,264,15,STR-845-972
1251055746734543641,Spacious 2-Bedroom Home by #YOW Airport,591682899,Gaius,,River,45.36658166196638,-75.6596339019944,Entire home/apt,114,1,4,2025-02-18,0.94,3,143,4,STR-844-395
1251486655876914585,Modern Byward appartement,52448485,Malak,,Rideau-Vanier,45.430149531568354,-75.68921058774784,Entire home/apt,69,30,0,,,1,285,0,
1251709368044116558,Cozy retreat - Beechwood Village,14235766,Kevin,,Rideau-Vanier,45.443598750170814,-75.66740089957881,Entire home/apt,145,31,2,2025-03-05,0.47,1,365,2,
1252095976420482963,"Large, modern 2-bed flat with parking included",182086632,Jean Pierre Eric,,Rideau-Vanier,45.4331213,-75.69012339999999,Entire home/apt,65,30,1,2025-02-15,1,3,283,1,
1253835565598681336,Luxury room,577292832,Sobia,,Cumberland,45.50399,-75.46562,Private room,46,1,14,2025-02-24,2.61,3,80,14,STR-844-282
1254283625325652326,4Bedroom House With loft -Kanata,458983927,Samy,,Kanata South,45.2763323,-75.83920499999999,Entire home/apt,166,1,18,2025-03-10,3.75,6,0,18,STR-828-065
