id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
757071769540316787,Vaste 5 pièces tout équipé à 30Secondes de St-Jean,28754730,Julie,,Saint-Jean-Baptiste,46.80826,-71.2267,Entire home/apt,73,31,5,2024-08-08,0.21,16,345,1,
757890274386445040,SF500 - Lofts St-François - Par Les Lofts Vieux-QC,452871836,St-Francois,,Saint-Roch,46.816,-71.22023,Entire home/apt,206,31,0,,,19,289,0,"311342, expires: 2025-12-11"
757900981092191029,SF501 - Lofts St-François - Par Les Lofts Vieux-QC,452871836,St-Francois,,Saint-Roch,46.8155,-71.2189,Entire home/apt,206,31,2,2025-02-07,0.98,19,275,2,"311342, expires: 2025-12-11"
757910090100426486,SF502 - Lofts St-François - Par Les Lofts Vieux-QC,452871836,St-Francois,,Saint-Roch,46.81742,-71.21941,Entire home/apt,341,31,12,2025-01-29,0.47,19,274,6,"311342, expires: 2025-12-11"
757968450405148628,SF601 - Lofts St-François - Par Les Lofts Vieux-QC,452871836,St-Francois,,Saint-Roch,46.81656,-71.21953,Entire home/apt,302,31,24,2025-01-26,1.10,19,224,19,"311342, expires: 2025-12-11"
759408733870156206,La vrai vie de quartier à Limoilou,41862052,Josette,,Lairet,46.838544,-71.2390676,Private room,53,1,97,2025-01-21,3.47,1,270,39,"312838, expires: 2025-04-24"
760274081981635432,Le Limoileux: Charmant 6 places avec stationnement,487736513,David,,Vieux-Limoilou,46.83046,-71.23296,Entire home/apt,150,1,145,2025-02-24,5.34,1,358,62,"313109, expires: 2025-05-15T00:00:00Z"
760857959798961888,Appartement sur deux étages à Limoilou,480470620,David,,Vieux-Limoilou,46.82358,-71.22513,Entire home/apt,131,1,221,2025-02-23,7.93,7,86,93,"310139, expires: 2025-05-31"
761623179050603938,P206 - Les Lofts St-Paul - Par Les Lofts Vieux-QC,401383056,Gda-Stpaul,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81625,-71.20776,Entire home/apt,65,31,0,,,4,315,0,"000000, expires: 2122-12-31"
762318385467646924,Les Immeubles Charlevoix  371102,34462857,Les Immeubles Charlevoix Courtier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81627650000001,-71.2140915,Entire home/apt,768,2,11,2025-02-09,0.41,59,352,8,"301807, expires: 2025-05-31"
762325305459043052,L'Escapade |  Centre-Ville de Québec avec parking,364840850,Philippe,,Saint-Sauveur,46.81150419999999,-71.2313494,Entire home/apt,103,1,176,2025-03-01,6.63,1,174,77,"297829, expires: 2026-02-22"
762951075541057120,La maison de Caroline,33418685,Caroline,,Saint-Sacrement,46.79143,-71.25408,Entire home/apt,,3,3,2024-08-22,0.38,1,0,3,"318135, expires: 2025-04-11"
764108616514255287,"Charming 2BR  Heart of Old Québec(Free Parking,AC)",236784947,Johan,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81132,-71.20695,Entire home/apt,170,2,52,2024-12-30,1.93,10,180,18,"296437, expires: 2025-08-31"
764240879144113514,Sweetwater House,96144375,Jian,,Neufchâtel-Est/Lebourgneuf,46.84264,-71.30184,Entire home/apt,226,30,48,2024-09-01,1.78,1,151,14,"311253, expires: 2025-11-09T00:00:00Z"
764736534222932645,Cozy studio centre-ville de QC,85870749,Marie-Lisa,,Saint-Sauveur,46.80413,-71.24158,Entire home/apt,63,3,58,2025-01-10,2.25,1,73,23,"310036, expires: 2025-05-31T00:00:00Z"
765103284215145911,Le Géant des Maizerets | 4 BEDS | 2 BDR | 2 BTH,281888918,David,,Maizerets,46.83855,-71.22067,Entire home/apt,309,31,0,,,4,88,0,"303086, expires: 2023-11-30"
765143084860981828,Atypiq - Ambiance & Hôtel,73024432,Brigtte,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81277,-71.20923,Private room,,31,14,2023-04-30,0.51,1,290,0,"007184, expires: 2024-07-06"
765385834516705403,Appartement centre-ville Québec,442555857,Mohammed,,Saint-Roch,46.81201,-71.22726,Entire home/apt,104,2,31,2025-02-16,1.14,1,350,27,"317713, expires: 2025-03-14T03:08:18Z"
765738234554376140,Le Sky 1102 - With parking + gym,488716932,Patrice,,Saint-Roch,46.814911,-71.2196936,Entire home/apt,209,2,123,2025-03-03,4.58,1,331,44,"311424, expires: 2025-12-13"
766050714845984402,Condos de ville,414629563,Nathaniël Ange,,Quartier 4-6,46.84549,-71.2549,Entire home/apt,113,1,121,2025-02-22,4.83,2,312,69,"313240, expires: 2025-05-01T17:48:24Z"
766609963381902769,Joli appartement à Québec,488867422,Mélanie,,Vanier,46.82133,-71.265,Entire home/apt,65,31,18,2024-12-23,0.66,1,211,4,
768195671513492441,Loft In the heart of Quebec (Free Parking/AC),236784947,Johan,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81239,-71.20717,Entire home/apt,50,31,9,2024-09-23,0.46,10,57,3,
768789953995224485,Initial | Chouette | Québec,19909639,Louis,,Saint-Roch,46.8138297,-71.2253456,Entire home/apt,75,1,59,2025-02-19,2.17,49,356,15,"294445, expires: 2026-02-15"
770956161788528364,Suite Supérieure | Château des Tourelles |,488972474,Sébastien,,Saint-Jean-Baptiste,46.8082739,-71.2249238,Private room,110,1,80,2025-02-15,3.02,7,215,31,"181484, expires: 2025-06-30"
770998008706862268,Chambre Queen Confort | Château des Tourelles |,488972474,Sébastien,,Saint-Jean-Baptiste,46.8082739,-71.2249238,Private room,94,1,155,2025-02-13,5.75,7,301,28,"181484, expires: 2025-06-30"
771016831117223072,Suite Triple Balcon | Château des Tourelles |,488972474,Sébastien,,Saint-Jean-Baptiste,46.8082739,-71.2249238,Private room,107,1,61,2025-01-15,2.30,7,231,25,"181484, expires: 2025-06-30"
771038609388901561,Suite Jacuzzi Balcon | Château des Tourelles |,488972474,Sébastien,,Saint-Jean-Baptiste,46.8082739,-71.2249238,Private room,112,1,13,2024-11-10,0.49,7,256,5,"181484, expires: 2025-06-30"
771052516913624753,Family Room | Château des Tourelles |,488972474,Sébastien,,Saint-Jean-Baptiste,46.8082739,-71.2249238,Private room,107,1,19,2024-08-27,0.71,7,246,5,"181484, expires: 2025-06-30"
771059530351067952,Studio Avec Cuisine | Château des Tourelles |,488972474,Sébastien,,Saint-Jean-Baptiste,46.8082739,-71.2249238,Private room,108,1,12,2024-10-14,0.45,7,261,5,"181484, expires: 2025-06-30"
771861108961495543,Centre-ville cozy loft,489763465,Xavier,,Vieux-Limoilou,46.82325,-71.22729,Entire home/apt,115,1,126,2025-02-09,4.73,1,187,60,"311332, expires: 2026-02-21"
772971571259328341,Penthouse with views of Quebec City,426291460,Mathieu,,Saint-Roch,46.81527324671878,-71.21884424239397,Entire home/apt,125,1,84,2025-02-16,3.32,6,202,36,"311970, expires: 2026-02-05"
773117647161506519,Le 502 au coeur du centre-ville,432992119,Tristan,,Saint-Roch,46.81527,-71.22188,Entire home/apt,106,31,179,2025-03-02,6.72,1,228,83,"312461, expires: 2025-04-02T00:00:00Z"
773853360141505625,Art Deco Church Studio,435288009,Térence Steve,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81684,-71.21673,Entire home/apt,122,31,0,,,1,269,0,
773986812446297291,Casita Frida- CITQ #311652,6272645,Daniela,,Cité Universitaire,46.7891044,-71.2629654,Entire home/apt,59,3,37,2025-02-22,1.45,1,21,19,"311652, expires: 2025-12-21T00:00:00Z"
775380096636960721,Appt au coeur du vieux Limoilou,489870643,Bobby,,Vieux-Limoilou,46.82229419999999,-71.2225052,Entire home/apt,138,31,11,2023-05-03,0.43,1,153,0,
775583829950206058,Downtown Cozy appartement,40736086,Jonathan,,Vieux-Limoilou,46.8240902,-71.2278692,Entire home/apt,65,32,0,,,6,365,0,
776644619924916716,Initial | La cabine | Québec,19909639,Louis,,Saint-Roch,46.8138297,-71.2253456,Entire home/apt,71,1,116,2025-02-19,4.31,49,318,51,"295045, expires: 2025-12-21"
776655647016501510,Initial | Aube | Québec,19909639,Louis,,Saint-Roch,46.8138297,-71.2253456,Entire home/apt,69,1,74,2025-02-17,2.72,49,321,27,"295295, expires: 2025-10-10"
776726254700157328,Spacious Modern Loft,24205479,Catherine,,Vieux-Limoilou,46.82546685525881,-71.2220424413681,Entire home/apt,41,31,9,2024-12-20,0.42,1,318,3,
777015574572350618,"4 people, 2 Bedroom, central, A/C, Free Parking",432305122,Jerome,,Quartier 4-5,46.858007,-71.2652292,Entire home/apt,107,31,57,2025-03-01,2.93,1,254,34,"314167, expires: 2025-06-26T00:00:00Z"
777365854512444504,Le Patrimonial,59041207,Dominic,,Quartier 5-4,46.87351,-71.17327,Entire home/apt,126,2,114,2025-03-02,4.28,4,94,49,"302307, expires: 2025-12-20"
778936161505166816,Le 302 in the heart of old Québec,490937119,Harry,,Saint-Jean-Baptiste,46.8101433,-71.2195958,Entire home/apt,94,2,100,2025-02-17,3.95,3,287,42,"305463, expires: 2025-09-14T01:13:18Z"
780336344896857953,Superbe Chambre Privée Beauport,270347764,Heleina,,Vieux-Moulin,46.85758,-71.2074,Private room,28,31,15,2024-11-02,0.56,1,90,4,
780507139278559142,Charming basement space - Old Quebec,78331113,Yannick,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80983,-71.20731,Entire home/apt,133,1,55,2025-02-12,2.17,3,293,31,"111296, expires: 2025-06-01T00:00:00Z"
780958624460736988,"Rare, Vieux Québec, accessible de la rue/à louer",134787614,Clo,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81304,-71.208398,Entire home/apt,304,2,51,2025-02-09,2.02,1,313,30,"313326, expires: 2025-05-22"
783227102423752740,Nuvo Quartier | Superb 2 Bdr Apartment,174781700,Nuvo,,Maizerets,46.84486,-71.21554,Entire home/apt,128,31,18,2024-08-16,0.67,2,159,1,
783270241863488764,HighCelling Balcony old Quebec,452911594,Maude,,Saint-Jean-Baptiste,46.80867,-71.22357,Entire home/apt,45,31,5,2024-06-10,0.20,5,365,2,
783304442545205483,Le 303 in the heart of Old Quebec.,490937119,Harry,,Saint-Jean-Baptiste,46.8101433,-71.2195958,Entire home/apt,96,2,95,2025-02-14,3.58,3,233,38,"309147, expires: 2025-09-14"
783933731367517930,Old Quebec/Nouvo St-Roch/petit loft lit Queen,433978734,Isabelle,,Saint-Roch,46.811811240088204,-71.22437328100204,Entire home/apt,101,3,65,2025-01-26,2.53,4,236,41,"219774, expires: 2025-10-01T00:00:00Z"
785468931604881450,Bien situé à Limoilou,480470620,David,,Vieux-Limoilou,46.82326,-71.22517,Entire home/apt,118,1,109,2025-02-28,4.09,7,113,48,"310139, expires: 2025-05-31"
786167551873952462,Logement entier 2 chambres,8988439,Jean-Mickaël,,Saint-Sauveur,46.80277201916272,-71.24205675557775,Entire home/apt,113,2,5,2025-02-16,1.67,1,92,5,"310036, expires: 2025-06-01T00:00:00Z"
787494806188123945,Enchanting Loft - Fireplace AC  Quebec Downtown,36195411,Maxime,,Saint-Sauveur,46.81054,-71.25211,Entire home/apt,101,31,141,2025-02-23,5.52,16,266,67,"311977, expires: 2026-02-16"
787553095489732341,NUVO Quartier | Appartement Ville de Québec,174781700,Nuvo,,Maizerets,46.84581,-71.21409,Entire home/apt,103,31,17,2024-09-17,0.73,2,126,4,"301418, expires: 2024-12-12"
