id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1318155077016093774,Guest Basement suite in Winnipeg,496243022,Folakemi,,Waverley West,49.79794638785312,-97.17550883191718,Entire home/apt,,2,0,,,1,157,0,
1318528979657187161,Comfort Meets Convenience,172128102,Luqman,,River Heights - Fort Garry,49.82087,-97.16424,Private room,49,1,3,2025-01-27,1.80,1,250,3,
1318555431453929633,IvyRose - Gym/Sauna/Hottub/Carcrental,124913178,Nardia,,St. Norbert - Seine River,49.8145414,-97.1102598,Entire home/apt,293,1,0,,,8,164,0,
1319041122723006776,Kelvista's suite,668585221,Kelvin,,St. Vital,49.819288110417276,-97.06045844789935,Entire home/apt,59,1,9,2025-03-09,4.50,1,0,9,
1319219850350854666,One Cozy Bedroom in an Apartment,276032641,Md Nayeemul Islam,,St. Vital,49.83188249573611,-97.1171089649273,Private room,54,1,0,,,1,365,0,
1320550199047912292,Cozy Cove Deluxe,370562798,Adeyemi,,St. Vital,49.82388,-97.05462,Entire home/apt,146,2,0,,,1,345,0,
1321449700370362176,3-Bdr Apartment Close to Airport,482635349,Temitope,,St. James,49.87623,-97.21694,Entire home/apt,135,1,4,2025-02-16,2.31,8,0,4,
1322208648826665665,Jaykay executive suite 2,668286319,Ijeoma,,St. Vital,49.82097,-97.05337,Entire home/apt,57,1,3,2025-02-18,1.32,2,364,3,
1323321698924738130,Haven of Comfort by Ayo & Demi,669741574,Ayokunle,,St. Vital,49.82256,-97.05113,Entire home/apt,82,2,10,2025-03-05,6.00,1,338,10,
1323538323997749248,"Brand New Home! Osborne, 3 Bed, 2.5 bath",286991632,Luxury Lakehouse,,Fort Rouge - East Fort Garry,49.86518,-97.13978,Entire home/apt,124,2,14,2025-03-02,6.77,2,309,14,
1323847175731572518,Lovely 2 Bedroom Basement Suite,669593031,Folarin,,Waverley West,49.77165,-97.1873,Entire home/apt,90,1,0,,,2,345,0,
1325357758707620491,"Room in Transcona 
(Room 3)",96715712,Carrie-Lynn,,Transcona,49.90246,-97.02212,Private room,32,30,0,,,3,340,0,
1325779986927410539,The Cozy Retreat,475824727,Kaelin,,St. Boniface,49.87766,-97.10873,Entire home/apt,81,1,4,2025-03-03,4,2,321,4,
1326002172705532743,2.5 bedroom townhouse in Bridgwater Forest,36760720,Huong Giang,,Waverley West,49.80166,-97.18456,Entire home/apt,89,1,1,2025-02-09,1,3,365,1,
1326205755080249694,Luxury: Home Away from Home with Private Entrance,670543555,Emmanuel,,Transcona,49.91182,-96.98096,Entire home/apt,55,1,5,2025-02-15,2.59,1,355,5,
